Break_Out,65+,,,,,,
,,,,,,,
Row Labels,Sum of Data_value,,,,,,
Alabama,28.9,,,,,39.9,37.4
Alaska,29.6,,,,,35.2,34.5
Arizona,24.7,,,,,34.8,33.5
Arkansas,29.2,,,,,43.9,39.3
California,24.1,,,,,26.9,29.8
Colorado,20.5,,,,,24.7,26.1
Connecticut,27.2,,,,,30.8,31.7
Delaware,30.5,,,,,36.4,35.9
District of Columbia,23.7,,,,,32.8,26.5
Florida,23.2,,,,,33.1,28.4
Georgia,29.5,,,,,36.2,35.2
Hawaii,14.1,,,,,26.4,23.9
Idaho,26.2,,,,,33.1,31.9
Illinois,31,,,,,34.3,35.8
Indiana,30.2,,,,,38.8,37.8
Iowa,30.9,,,,,36.1,37.9
Kansas,28.7,,,,,36.6,38.4
Kentucky,27.5,,,,,37.1,37
Louisiana,32,,,,,38.5,40.1
Maine,25.9,,,,,34.4,31.4
Maryland,29,,,,,35.6,33.6
Massachusetts,25.1,,,,,29.8,27.6
Michigan,32.7,,,,,36.5,36
Minnesota,28.5,,,,,31.5,33
Mississippi,28.8,,,,,41.2,36.2
Missouri,27.9,,,,,34.2,32.9
Montana,26.7,,,,,29.9,27.3
Nebraska,28.6,,,,,35.5,35.9
Nevada,27.6,,,,,28.9,25.6
New Hampshire,28.4,,,,,31.6,28.9
New Jersey,27.3,,,,,29.6,32.6
New Mexico,20.8,,,,,31.2,32.1
New York,27.3,,,,,34.1,32.3
North Carolina,25.9,,,,,34.2,33.8
North Dakota,29.9,,,,,36.8,36.8
Ohio,33.4,,,,,39.9,39.2
Oklahoma,28.9,,,,,40,40
Oregon,27.1,,,,,29.1,35.2
Pennsylvania,29.5,,,,,33.2,34
Rhode Island,26.1,,,,,29.2,29.8
South Carolina,27.1,,,,,38,38.8
South Dakota,26.7,,,,,33.4,37.7
Tennessee,23.9,,,,,39.3,38
Texas,30.7,,,,,36.5,41.8
Utah,28.4,,,,,30,32.5
Vermont,25.5,,,,,26.8,29.1
Virginia,26.9,,,,,33.4,35.4
Washington,26.4,,,,,31,33.6
West Virginia,30.8,,,,,40,40.3
Wisconsin,30.3,,,,,32.5,36
Wyoming,24.7,,,,,31.9,34.2
Grand Total,1398.5,,,,,,
